,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
226,140860,KR7140860008,파크시스템스,KOSDAQ,우량기업부,175000,2,-2100,-1.19,176600,176700,173200,7794,1363397100,1219042825000,6965959,KSQ
227,280360,KR7280360009,롯데웰푸드,KOSPI,,128800,2,-700,-0.54,130700,131200,126600,2833,363050800,1215173131200,9434574,STK
228,067310,KR7067310003,하나마이크론,KOSDAQ GLOBAL,우량기업부,25300,1,250,1.0,25100,25650,24900,482585,12217181450,1215124946200,48028654,KSQ
229,001440,KR7001440007,대한전선,KOSPI,,9750,2,-210,-2.11,9930,9930,9700,404825,3957036180,1213361175000,124447300,STK
230,281740,KR7281740001,레이크머티리얼즈,KOSDAQ,우량기업부,18420,2,-250,-1.34,18600,18610,18030,416415,7601423380,1210756694160,65730548,KSQ
231,034230,KR7034230003,파라다이스,KOSDAQ,중견기업부,13110,2,-300,-2.24,13450,13460,13100,452043,5959288790,1202961473250,91759075,KSQ
232,237690,KR7237690003,에스티팜,KOSDAQ GLOBAL,우량기업부,63000,2,-200,-0.32,63000,63600,62300,37639,2374533700,1184952825000,18808775,KSQ
233,005300,KR7005300009,롯데칠성,KOSPI,,127000,2,-700,-0.55,127700,128200,126900,14099,1795072800,1178418268000,9278884,STK
234,009240,KR7009240003,한샘,KOSPI,,49200,2,-1400,-2.77,50200,50600,49050,13241,655643150,1157869257600,23533928,STK
235,004490,KR7004490009,세방전지,KOSPI,,82500,1,1900,2.36,81400,86500,81000,193164,16266809400,1155000000000,14000000,STK
236,365340,KR7365340009,성일하이텍,KOSDAQ,기술성장기업부,95100,1,400,0.42,94900,95400,92600,24481,2304034700,1145234712600,12042426,KSQ
237,008730,KR7008730004,율촌화학,KOSPI,,45700,1,1200,2.7,44450,48850,44150,396258,18431898850,1133360000000,24800000,STK
238,140410,KR7140410002,메지온,KOSDAQ,중견기업부,38150,2,-350,-0.91,38300,38800,37450,118699,4520783650,1129521890350,29607389,KSQ
239,064760,KR7064760002,티씨케이,KOSDAQ GLOBAL,우량기업부,96600,3,0,0.0,96600,97000,95300,10683,1026796500,1127805000000,11675000,KSQ
240,353200,KR7353200009,대덕전자,KOSPI,,22800,2,-400,-1.72,23100,23200,22700,272362,6240425100,1126705890000,49416925,STK
